product_id,product_name,category,brand,description,current_price,cost,stock_quantity,monthly_sales,average_rating,review_count,supplier,last_updated
PROD-001,Wireless Bluetooth Headphones Pro,Electronics,AudioMax,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and premium sound quality. Features include quick charging, multi-device connectivity, and comfortable ear cushions for all-day wear. Perfect for travel, work, or leisure.",129.99,65.00,245,87,4.5,1243,TechSupply Co,2024-03-15
PROD-002,Yoga Mat Premium Non-Slip,Sports & Fitness,FlexFlow,"Extra thick 6mm yoga mat with non-slip texture on both sides. Made from eco-friendly TPE material, includes carrying strap. Ideal for yoga, pilates, stretching, and floor exercises. Easy to clean and maintain.",34.99,12.50,580,156,4.7,892,FitGear Dist,2024-03-14
PROD-003,Stainless Steel Water Bottle 32oz,Home & Garden,HydroLife,"Insulated stainless steel water bottle keeps drinks cold for 24 hours or hot for 12 hours. BPA-free, leak-proof lid with carrying handle. Wide mouth for easy filling and cleaning. Available in multiple colors.",24.99,8.75,420,203,4.6,1567,EcoSupplies Inc,2024-03-18
PROD-004,Smart Watch Fitness Tracker,Electronics,TechFit,"Advanced fitness tracker with heart rate monitor, sleep tracking, step counter, and GPS. Compatible with iOS and Android. Water-resistant up to 50m. Battery life up to 7 days. Includes multiple sport modes and smartphone notifications.",89.99,42.00,312,94,4.3,756,TechSupply Co,2024-03-12
PROD-005,Organic Cotton T-Shirt Classic,Fashion,EcoWear,"100% organic cotton t-shirt, soft and breathable. Pre-shrunk for perfect fit. Available in multiple colors and sizes (S-XXL). Made from sustainably sourced cotton. Machine washable.",19.99,6.50,890,267,4.4,423,Textile World,2024-03-10
PROD-006,Resistance Bands Set 5-Pack,Sports & Fitness,PowerFlex,"Complete resistance band set with 5 different resistance levels. Includes door anchor, handles, and ankle straps. Portable and perfect for home workouts, physical therapy, or gym training. Comes with exercise guide.",29.99,10.25,445,178,4.5,934,FitGear Dist,2024-03-16
PROD-007,LED Desk Lamp Adjustable,Home & Garden,BrightSpace,"Modern LED desk lamp with touch control and adjustable brightness. 3 color temperature modes (warm, neutral, cool). USB charging port built-in. Energy-efficient and eye-friendly lighting. Perfect for office or study.",39.99,16.50,298,112,4.4,567,LightCo Supplies,2024-03-11
PROD-008,Protein Powder Chocolate 2lb,Health & Wellness,NutriPro,"Whey protein isolate with 25g protein per serving. Low carb, low sugar. Delicious chocolate flavor. Supports muscle recovery and growth. Third-party tested for quality. Mixes easily with water or milk.",44.99,22.00,356,145,4.6,1892,HealthDist Co,2024-03-17
PROD-009,Backpack Laptop 15.6 inch,Accessories,UrbanCarry,"Durable laptop backpack with padded compartment for 15.6 inch laptops. Multiple pockets for organization. Water-resistant material with reinforced stitching. Comfortable padded shoulder straps and back panel. USB charging port.",49.99,21.75,267,98,4.5,678,BagWorld Inc,2024-03-13
PROD-010,Coffee Maker Programmable 12-Cup,Kitchen & Dining,BrewMaster,"Programmable drip coffee maker with 12-cup capacity. Auto-brew feature with 24-hour timer. Pause-and-serve function. Permanent filter included. Keep-warm function up to 2 hours. Easy to clean removable parts.",59.99,28.50,189,76,4.3,445,HomeAppliance Co,2024-03-09
PROD-011,Running Shoes Men's Size 8-13,Sports & Fitness,SpeedStep,"Lightweight running shoes with responsive cushioning. Breathable mesh upper with reinforced toe cap. Durable rubber outsole for traction. Available in multiple sizes and colors. Suitable for road running and gym workouts.",79.99,38.00,423,132,4.6,1234,FootGear Dist,2024-03-19
PROD-012,Wireless Mouse Ergonomic,Electronics,TechComfort,"Ergonomic wireless mouse with 2.4GHz connection. 6 programmable buttons and adjustable DPI (800-3200). Comfortable grip reduces wrist strain. Works with Windows and Mac. Battery life up to 18 months.",24.99,9.25,612,187,4.4,892,TechSupply Co,2024-03-14
